id,firstName,lastName,birthDate,party,represents,profileText
K000391,S.,Krishnamoorthi,1973-07-19,Democrat,IL,"A Representative from Illinois; born in New Delhi, India, July 19, 1973; graduated from Richwoods High School, Peoria, Ill., 1991; B.A., Princeton University, Princeton, N.J., 1995; J.D., Harvard Law School, Cambridge, Mass., 2000; lawyer, private practice; business executive; clerk, United States District Court for Northern District of Illinois, 2000-2002; campaign staff, Barack Obama, 2004, 2008; staff, Illinois housing development authority, 2005-2007; Illinois special assistant attorney general, 2006-2007; deputy state treasurer of Illinois, 2008-2009; unsuccessful candidate for Illinois state comptroller, 2010; unsuccessful candidate for nomination to the One Hundred Thirteenth Congress in 2012; elected as a Democrat to the One Hundred Fifteenth and to the two succeeding Congresses (January 3, 2017-present)."
N000191,Joseph,Neguse,1984-05-13,Democrat,CO,"a Representative from Colorado; born in Bakersfield, Kern County, Calif., May 13, 1984; graduated from Thunder Ridge High School, Highlands Ranch, Colo., 2002; B.A., University of Colorado, Boulder, Colo., 2005; J.D., University of Colorado, Boulder, Colo., 2009; nonprofit executive; member of the board of regents of the University of Colorado, Boulder, Colo., 2009-2015; executive director, Colorado department of regulatory agencies, 2015-2017; lawyer; elected as a Democrat to the One Hundred Sixteenth and to the succeeding Congress (January 3, 2019-present); one of the managers appointed by the House of Representatives in 2021 to conduct the impeachment proceedings of Donald J. Trump, President of the United States."
G000377,Kay,Granger,1943-01-18,Republican,TX,"A Representative from Texas; born in Greenville, Hunt County, Tex., January 18, 1943; graduated from Eastern Hills High School, Fort Worth, Tex.; B.S. Texas Wesleyan University, Fort Worth, Tex., 1965; teacher; business owner; member of the Fort Worth, Tex., zoning commission, 1981-1989; member of the Fort Worth, Tex., city council, 1989-1991; mayor of Fort Worth, Tex., 1991-1995; elected as a Republican to the One Hundred Fifth and to the twelve succeeding Congresses (January 3, 1997-present)."
B001224,Cori,Bush,1976-07-21,Democrat,MO,"a Representative from Missouri; born in St. Louis, Mo., July 21, 1976; graduated from Cardinal Ritter College Prep High School, St. Louis, Mo., 1994; attended Harris-Stowe State University, St. Louis, Mo., 1995&ndash;1996; RN Diploma, Lutheran School of Nursing, St. Louis, Mo., 2008; teacher; nurse; pastor; community organizer; unsuccessful candidate for nomination to the United States Senate in 2016; unsuccessful candidate for nomination to the One Hundred Sixteenth Congress in 2018; elected as a Democrat to the One Hundred Seventeenth Congress (January 3, 2021&ndash;present)."
C001098,Rafael,Cruz,1970,Republican,TX,"A Senator from Texas; born in Calgary, Alberta, Canada, December 22, 1970; graduated Princeton University, B.A., 1992; graduated Harvard University, J.D., 1995; law clerk to Chief Justice of the United States William Rehnquist; associate deputy attorney general, U.S. Department of Justice; director of the Office of Policy Planning, Federal Trade Commission; solicitor general of Texas 2003-2008; lawyer; elected as a Republican to the United States Senate in 2012 for the term commencing January 3, 2013; reelected in 2018 for the term ending January 3, 2025; was an unsuccessful candidate for the Republican presidential nomination in 2016."
H001075,Kamala,Harris,1964,Democrat,CA,"A Senator from California; born in Oakland, Calif., October 20, 1964; B.A., Howard University, 1986; J.D., University of California, Hastings College of the Law, 1989; admitted to the California bar in 1990; deputy district attorney, Alameda County, Calif., 1990-1998; managing attorney, San Francisco District Attorney&rsquo;s Office; chief of the San Francisco City Attorney&rsquo;s Division on Children and Families; district attorney of San Francisco 2004-2011; attorney general of California 2011-2016; elected as a Democrat to the United States Senate in 2016 and served from January 3, 2017, until January 18, 2021, when she resigned to become Vice President; was an unsuccessful candidate for the Democratic nomination for president in 2020, but was elected Vice President of the United States on the Democratic ticket headed by Joseph R. Biden, Jr. in 2020."
V000131,Marc,Veasey,1971-01-03,Democrat,TX,"A Representative from Texas; born in Fort Worth, Tarrant County, Tex., January 3, 1971; graduated from Arlington Heights High School, Fort Worth, Tex., 1990; B.S., Texas Wesleyan University, Fort Worth, Tex., 1995; journalist; staff, United States Representative J. Martin Frost of Texas; real estate; member of the Texas state house of representatives, 2004-2012; elected as a Democrat to the One Hundred Thirteenth and to the four succeeding Congresses (January 3, 2013-present)."
W000437,Roger,Wicker,1951,Republican,MS,"A Senator and a Representative from Mississippi; born in Pontotoc, Pontotoc County, Miss., July 5, 1951; graduated Pontotoc High School, Pontotoc, Miss., 1969; B.A., University of Mississippi, University, Miss., 1973; J.D., University of Mississippi, University, Miss. 1975; Air Force Reserve Officer Training Corps; United States Air Force 1976-1980; United States Air Force Reserve 1980-2003; staff for United States Representative Trent Lott of Mississippi, House Committee on Rules 1980-1982; Tupelo, Miss., judge pro tem; Lee County, Miss., public defender 1984-1987; member of the Mississippi state senate 1988-1994; elected as a Republican to the One Hundred Fourth and to the six succeeding Congresses (January 3, 1995-December 31, 2007); resigned on December 31, 2007, to accept appointment to the Senate; appointed to the U.S. Senate on December 31, 2007, to fill the seat left vacant by the resignation of Chester Trent Lott; took oath of office on December 31, 2007; elected in 2008 in a special election for the term ending January 3, 2013; reelected in 2012, and again in 2018 for the term ending January 3, 2025; chair, National Republican Senatorial Committee (2015-2017); chair, Committee on Commerce, Science, and Transportation (One Hundred Sixteenth Congress)."
G000588,Anthony,Gonzalez,1984-09-18,Republican,OH,"A Representative from Ohio; born in Elyria, Lorain County, Ohio, September 18, 1984; graduated from Saint Ignatius High School, Cleveland, Ohio, 2003; attended The Ohio State University, Columbus, Ohio, 2003-2007; M.B.A., Stanford University, Stanford, Calif., 2014; professional athlete; elected as a Republican to the One Hundred Sixteenth and to the succeeding Congress (January 3, 2019-present)."
P000607,Mark,Pocan,1964-08-14,Democrat,WI,"A Representative from Wisconsin; born in Kenosha, Kenosha County, Wis., August 14, 1964; graduated from Mary D. Bradford High School, Kenosha, Wis., 1982; B.A., University of Wisconsin, Madison, Wis., 1986; businessman; member of the Dane County, Wis., board of supervisors, 1991-1996; member of the Wisconsin state assembly, 1999-2013; elected as a Democrat to the One Hundred Thirteenth and to the four succeeding Congresses (January 3, 2013-present)."
E000296,Dwight,Evans,1954-05-16,Democrat,PA,"a Representative from Pennsylvania; born in Philadelphia, Philadelphia County, Pa., May 16, 1954; graduated from Germantown High School, Philadelphia, Pa., 1971; A.A., Community College of Philadelphia, Philadelphia, Pa.,1973; B.A., La Salle University, Philadelphia, Pa., 1975; teacher, Philadelphia, Pa., public schools; employment counselor, Urban League of Philadelphia, Pa.; member of the Pennsylvania state house of representatives, 1980-2016; unsuccessful candidate for nomination as lieutenant governor of Pennsylvania in 1986; unsuccessful candidate for nomination for Governor of Pennsylvania in 1994; unsuccessful candidate for nomination as Mayor of Philadelphia, Pa., in 1999 &amp; 2007; elected simultaneously as a Democrat to the One Hundred Fourteenth and the One Hundred Fifteenth Congresses, by special election, to fill the vacancy caused by the resignation of United States Representative Chaka Fattah, and reelected to the two succeeding Congresses (November 8, 2016-present)."
W000821,Bruce,Westerman,1967-11-18,Republican,AR,"a Representative from Arkansas; born in Hot Springs, Hot Springs County, Ark., November 18, 1967; graduated from Fountain Lake High School, Hot Springs, Ark., 1986; B.S., University of Arkansas, Fayetteville, Ark., 1990; M.F., Yale Forestry School, New Haven, Conn., 2001; engineer; member of the Fountain Lake, Ark., school board, 2006-2010; member of the Arkansas state house of representatives 2010-2014; elected as a Republican to the One Hundred Fourteenth and to the three succeeding Congresses (January 3, 2015-present)."
F000466,Brian,Fitzpatrick,1973-12-17,Republican,PA,"(Brother of Michael G. Fitzpatrick), a Representative from Pennsylvania; born in Philadelphia, Philadelphia County, Pa., December 17, 1973; graduated from Bishop Egan High School, Fairless Hills, Pa., 1992; B.S.B.A., La Salle University, Philadelphia, Pa., 1996; M.B.A., Pennsylvania State University, University Park, Pa., 2001; J.D., Dickinson School of Law, Pennsylvania State University, Carlisle, Pa., 2001; judicial clerk, Eastern District of Pennsylvania, 2001-2002; special agent, Federal Bureau of Investigation; special assistant United States attorney for the Eastern District of Pennsylvania; lawyer, private practice; accountant; elected as a Republican to the One Hundred Fifteenth and to the two succeeding Congresses (January 3, 2017-present)."
S001189,Austin,Scott,1969,Republican,GA,"a Representative from Georgia; born in Augusta, Richmond County, Ga., December 10, 1969; graduated from Tiftarea Academy, Chula, Ga., 1987; B.B.A., University of Georgia, Athens, Ga., 1993; business owner; member of the Georgia state house of representatives, 1997-2010; elected as a Republican to the One Hundred Twelfth and to the five succeeding Congresses (January 3, 2011-present)."
F000470,Michelle,Fischbach,1965-11-03,Republican,MN,"a Representative from Minnesota; born November 3, 1965; graduated from Woodbury High School, Woodbury, Minn., 1984; attended College of Saint Benedict, St. Joseph, Minn., 1984-1986; B.A., St. Cloud State University, St. Cloud, Minn., 1989; J.D., William Mitchell College of Law, Saint Paul, Minn., 2011; member of the Paynesville, Minn., city council, 1996-1996; member of the Minnesota state senate, 1996-2018; lieutenant governor of Minnesota, 2018-2019; elected as a Republican to the One Hundred Seventeenth Congress (January 3, 2021-present)."
C001061,Emanuel,Cleaver,1944,Democrat,MO,"A Representative from Missouri; born in Waxahachie, Ellis County, Tex., October 26, 1944; graduated from Booker T. Washington High School, Wichita Falls, Tex., 1963; B.S., Prairie View A&amp;M University, Prairie View, Tex., 1972; M.Div., St. Paul School of Theology, Kansas City, Mo., 1974; pastor; radio show host; member of the Kansas City, Mo. city council, 1979-1991; Mayor of Kansas City, Mo., 1991-1999; elected as a Democrat to the One Hundred Ninth and to the eight succeeding Congresses (January 3, 2005-present)."
L000174,Patrick,Leahy,1940,Democrat,VT,"A Senator from Vermont; born in Montpelier, Washington County, Vt., March 31, 1940; graduated, St. Michael's College, Winooski, Vt., 1961; received J.D. degree from Georgetown University 1964; admitted to the Vermont bar in 1964 and commenced practice in Burlington; State's attorney, Chittenden County, Vt., 1966-1974; elected as a Democrat to the United States Senate in 1974; reelected in 1980, 1986, 1992, 1998, 2004, 2010, and again in 2016 for the term ending January 3, 2023; president pro tempore (December 17, 2012-January 3, 2015; January 20, 2021-); chair, Committee on Agriculture, Nutrition and Forestry (One Hundredth through One Hundred Third Congresses), Committee on the Judiciary (One Hundred Seventh Congress [January 3-20, 2001; June 6, 2001-January 3, 2003], One Hundred Tenth to One Hundred Thirteenth Congresses), Committee on Appropriations (One Hundred Seventeenth Congress)."
S001218,Melanie,Stansbury,1979-01-31,Democrat,NM,"a Representative from New Mexico; born in Farmington, San Juan County, N. Mex., January 31, 1979; graduated from Cibola High School, Albuquerque, N. Mex., 1997; B.A., Saint Mary's College of California, Moraga, Calif., 2002; M.S., Cornell University, Ithaca, N.Y., 2007; consultant; staff, New Mexico Museum of Natural History and Science, 2002-2004; staff, White House Office of Management and Budget, 2011-2015; staff, Senate Committee on Energy and Natural Resources, 2015-2017; member of the New Mexico state house of representatives, 2019-2021; elected as a Democrat to the One Hundred Seventeenth Congress, by special election, to fill the vacancy caused by the resignation of United States Representative Debra Haaland (June 1, 2021-present)."
G000551,Raúl,Grijalva,1948-02-19,Democrat,AZ,"a Representative from Arizona; born in Tucson, Pima County, Ariz., February 19, 1948; graduated from Sunnyside High School, Tucson, Ariz.; B.A., University of Arizona, Tucson, Ariz., 1986; member of the Tucson, Ariz., Unified School Board, 1974-1986; Pima County, Ariz. supervisor, 1989-2002; elected as a Democrat to the One Hundred Eighth and to the nine succeeding Congresses (January 3, 2003-present); chair, Committee on Natural Resources (One Hundred Sixteenth and One Hundred Seventeenth Congresses)."
F000450,Virginia,Foxx,1943-06-29,Republican,NC,"a Representative from North Carolina; born in New York, New York County, N.Y., June 29, 1943; graduated from Crossnore High School, Crossnore, N.C., 1961; A.B., University of North Carolina, Chapel Hill, N.C., 1968; M.A.C.T., University of North Carolina, Chapel Hill, N.C., 1972; Ed.D., University of North Carolina, Greensboro, N.C., 1985; instructor, Caldwell Community College, Hudson, N.C.; instructor, Appalachian State University, Boone, N.C.; assistant dean, Appalachian State University, Boone, N.C.; president, Mayland Community College, Spruce Pine, N.C., 1987-1994; landscape nursery owner; deputy secretary for management, North Carolina Department of Administration; member of the Watauga County, N.C., board of education, 1976-1988; member of the North Carolina state senate, 1994-2004; elected as a Republican to the One Hundred Ninth and to the eight succeeding Congresses (January 3, 2005-present); chair, Committee on Education &amp; the Workforce (One Hundred Fifteenth Congress)."
W000817,Elizabeth,Warren,1949,Democrat,MA,"A Senator from Massachusetts; born in Oklahoma City, Okla., June 22, 1949; attended George Washington University, 1966-1968; graduated University of Houston, B.S., 1970; graduated Rutgers University, J.D., 1976; elementary school teacher; lawyer; law professor; bankruptcy analyst; chair, Congressional Oversight Panel for the Troubled Asset Relief Program 2008-2010; special assistant to President Barack Obama for the Consumer Financial Protection Bureau 2010-2011; elected as a Democrat to the United States Senate in 2012 for the term commencing January 3, 2013; reelected in 2018 for the term ending January 3, 2025; was an unsuccessful candidate for the Democratic presidential nomination in 2020."
A000375,Jodey,Arrington,1972-03-09,Republican,TX,"A Representative from Texas; born in Plainview, Tex., March 9, 1972; graduated from Plainview High School, Plainview, Hale County, Tex., 1990; B.A., Texas Tech University, Lubbock, Tex., 1994; M.A., Texas Tech University, Lubbock, Tex., 1997; special assistant to President George W. Bush, 2001; staff, chairman of the Federal Deposit Insurance Corporation, 2001-2005; Deputy Federal Coordinator and Chief Operating Officer, Office of the Federal Coordinator for Gulf Coast Rebuilding, 2005-2006; administrator, Texas Tech University, Lubbock, Tex., 2007-2014; business executive; unsuccessful candidate in a special election for the Texas state senate in 2014; elected as a Republican to the One Hundred Fifteenth and to the two succeeding Congresses (January 3, 2017-present)."
M001185,Sean,Maloney,1966,Democrat,NY,"a Representative from New York; born in Sherbrooke, Quebec, Canada, July 30, 1966; graduated from Hanover High School, Hanover, N.H., 1984; attended Georgetown University, Washington, D.C., 1986; B.A., University of Virginia, Charlottesville, Va., 1988; J.D., University of Virginia, Charlottesville, Va., 1992; campaign aide; lawyer, private practice; businessman; staff secretary to President William J. Clinton, 1997-2000; unsuccessful candidate for nomination for New York attorney general in 2006 and 2018; first deputy secretary to New York Governor Eliot Spitzer, 2007-2008; elected as a Democrat to the One Hundred Thirteenth and to the four succeeding Congresses (January 3, 2013-present)."
B001286,Cheri,Bustos,1961-10-17,Democrat,IL,"A Representative from Illinois; born in Springfield, Sangamon County, Ill., October 17, 1961; graduated from Springfield High School, Springfield, Ill., 1979; attended Illinois College, Jacksonville, Ill.; B.A., University of Maryland, College Park, Md., 1983; M.A., University of Illinois, Springfield, Ill., 1985; journalist; businesswoman; member of the East Moline, Ill., city council, 2007-2011; elected as a Democrat to the One Hundred Thirteenth and to the four succeeding Congresses (January 3, 2013-present)."
M001214,Frank,Mrvan,1969-04-16,Democrat,IN,"a Representative from Indiana; born in Hammond, Lake County, Ind., April 16, 1969; graduated from Oliver P. Morton High School, Hammond, Ind., 1987; B.A., Ball State University, Muncie, Ind., 1992; sales representative; mortgage broker; trustee, North Township, Ind., 2005-2021; elected as a Democrat to the One Hundred Seventeenth Congress (January 3, 2021&ndash;present)."
C001104,Madison,Cawthorn,1995-08-01,Republican,NC,"a Representative from North Carolina; born in Buncombe County, N.C., August 1, 1995; home schooled in Hendersonville, N.C.; attended Patrick Henry College, Purcellville, Va.; business owner; elected as a Republican to the One Hundred Seventeenth Congress (January 3, 2021-present)."
W000790,Raphael,Warnock,1969-07-23,Democrat,GA,"a Senator from Georgia; born in Savannah, Ga., July 23, 1969; graduated Sol C. Johnson High School, Savannah, Ga., 1987; B.A., psychology, Morehouse College, 1991; M.Div., M.Phil., and Ph.D., Union Theological Seminary, New York, N.Y.; Baptist pastor; elected as a Democrat to the United States Senate in the January 5, 2021, special election runoff for the term ending January 3, 2023, to fill the vacancy caused by the resignation of Johnny Isakson, a seat previously held by appointed Senator Kelly Loeffler, and took the oath of office on January 20, 2021."
M001202,Stephanie,Murphy,1978,Democrat,FL,"a Representative from Florida; born in Ho Chi Minh City, Vietnam, September 16, 1978; B.A., College of William and Mary, Williamsburg, Va., 2000; M.S.F.S., Georgetown University, Washington, D.C., 2004; consultant; businesswoman; foreign affairs specialist, United States Department of Defense, 2004-2008; faculty, Rollins College, Winter Park, Fla., 2014-2016; elected as a Democrat to the One Hundred Fifteenth and to the two succeeding Congresses (January 3, 2017-present)."
T000463,Michael,Turner,1960-01-11,Republican,OH,"A Representative from Ohio; born in Dayton, Montgomery County, Ohio, January 11, 1960; graduated from Belmont High School, Dayton, Ohio, 1978; B.A., Ohio Northern University, Ada, Ohio, 1982; J.D., Case Western Reserve University, Cleveland, Ohio, 1985; M.B.A., University of Dayton, Dayton, Ohio, 1992; lawyer, private practice; mayor of Dayton, Ohio, 1994-2002; elected as a Republican to the One Hundred Eighth and to the nine succeeding Congresses (January 3, 2003-present)."
C001112,Salud,Carbajal,1964-11-18,Democrat,CA,"a Representative from California; born in Moroleon, Mexico, November 18, 1964; B.A., University of California, Santa Barbara, Calif., 1990; M.A., Fielding Graduate University, Santa Barbara, Calif., 1994; United States Marine Corps Reserve; staff, Santa Barbara County, Calif., public health department; staff, Santa Barbara County, Calif. supervisor Naomi Schwartz, 1993-2004; member of the Santa Barbara County, Calif., board of supervisors, 2004-2016; elected as a Democrat to the One Hundred Fifteenth and to the two succeeding Congresses (January 3, 2017-present)."
F000446,Randy,Feenstra,1969-01-14,Republican,IA,"a Representative from Iowa; born in Hull, Sioux County, Iowa, January 14, 1969; graduated from Western Christian High School, Hull, Iowa, 1987; B.A., Dordt College, Sioux Center, Iowa, 1991; M.P.A., Iowa State University, Ames, Iowa; attending Northcentral University, La Jolla, Calif.; business manager; bank insurance manager; faculty, Dordt College, Sioux Center, Iowa; city administrator, Hull, Iowa, 1999 &ndash; 2006; treasurer, Sioux County, Iowa, 2006 &ndash; 2008; member of the Iowa state senate, 2009 &ndash; 2020; elected as a Republican to the One Hundred Seventeenth Congress (January 3, 2021 &ndash; Present)."
S001150,Adam,Schiff,1960-06-22,Democrat,CA,"a Representative from California; born in Framingham, Middlesex County, Mass., June 22, 1960; B.A., Stanford University, Stanford, Calif., 1982; J.D., Harvard University, Cambridge, Mass., 1985; lawyer, private practice; prosecutor, Office of the United States Attorney for the Central District of California, 1987-1993; unsuccessful candidate for election to the California state assembly in 1994; member of the California state senate, 1996-2001; elected as a Democrat to the One Hundred Seventh and to the ten succeeding Congresses (January 3, 2001-present); one of the managers appointed by the House of Representatives in 2009 to conduct the impeachment proceedings of Samuel B. Kent, judge of the United States District Court for the Southern District of Texas; one of the managers appointed by the House of Representatives in 2010 to conduct the impeachment proceedings of G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana; lead manager appointed by the House of Representatives in 2020 to conduct the impeachment proceedings of Donald J. Trump, President of the United States; chair, Permanent Select Committee on Intelligence (One Hundred Sixteenth and One Hundred Seventeenth Congresses)."
C000754,James,Cooper,1954-06-19,Democrat,TN,"A Representative from Tennessee; born in Nashville, Davidson County, Tenn., June 19, 1954; graduated from Groton School, Groton, Mass., 1972; B.A., University of North Carolina (Morehead Scholar), Chapel Hill, N.C., 1975; M.A., Oxford University (Rhodes Scholar), Oxford, England, 1977; J.D., Harvard University Law School, Cambridge, Mass., 1980; lawyer, private practice; adjunct professor, Vanderbilt University, Nashville, Tenn.; elected as a Democrat to the Ninety-eighth and to the five succeeding Congresses (January 3, 1983-January 3, 1995); was not a candidate for reelection to the One Hundred Fourth Congress in 1994, but was an unsuccessful candidate for election to the United States Senate; investment banker; elected as a Democrat to the One Hundred Eighth and to the nine succeeding Congresses (January 3, 2003-present)."
H001079,Cindy,Hyde-Smith,1959,Republican,MS,"A Senator from Mississippi; born in Brookhaven, Miss., May 10, 1959; graduated Copiah-Lincoln Community College; B.A., University of Southern Mississippi, 1981; cattle farmer; member of the Mississippi state senate 2000-2012; Mississippi state commissioner of agriculture and commerce 2012-2018; appointed as a Republican to the United States Senate to fill the vacancy caused by the resignation of Thad Cochran; took the oath of office on April 9, 2018; subsequently elected in a special election on November 27, 2018; reelected in 2020 for the term ending January 3, 2027."
L000569,Blaine,Luetkemeyer,1952,Republican,MO,"a Representative from Missouri; born in Jefferson City, Cole County, Mo., May 7, 1952; B.A., Lincoln University, Jefferson City, Mo., 1974; business owner; banker; rancher; member of the St. Elizabeth, Mo., board of trustees, 1978-1987; member of the Missouri state house of representatives, 1999-2005; director, tourism commission of Missouri, 2006-2008; elected as a Republican to the One Hundred Eleventh and to the six succeeding Congresses (January 3, 2009-present)."
L000586,Alfred,Lawson,1948,Democrat,FL,"A Representative from Florida; born in Midway, Gadsden County, Fla., September 23, 1948; graduated from Havana Northside High School, Havana, Fla., 1966; B.S., Florida Agricultural and Mechanical University, Tallahassee, Fla., 1970; M.S.P.A., Florida State University, Tallahassee, Fla., 1973; business owner; member of the Florida state house of representatives, 1982-2000; member of the Florida state senate, 2000-2010; minority leader, 2008-2010; unsuccessful candidate for Democratic nomination to the One Hundred Twelfth Congress in 2010; unsuccessful candidate for election to the One Hundred Thirteenth Congress in 2012; elected as a Democrat to the One Hundred Fifteenth and to the two succeeding Congresses (January 3, 2017-present)."
S001193,Eric,Swalwell,1980-11-16,Democrat,CA,"a Representative from California; born in Sac City, Sac County, Iowa, November 16, 1980; graduated from Dublin High School, Dublin, Calif., 1999; B.A. University of Maryland, College Park, Md., 2003; J.D., University of Maryland School of Law, Baltimore, Md., 2006; Alameda County, Calif., prosecutor; Alameda County, Calif., deputy district attorney, 2006-2012; member of the Dublin, Calif., town council, 2010-2012; elected as a Democrat to the One Hundred Thirteenth and to the four succeeding Congresses (January 3, 2013-present); one of the managers appointed by the House of Representatives in 2021 to conduct the impeachment proceedings of Donald J. Trump, President of the United States."
